portal,published_date,author,headline,url_link,sentiment_label,sentiment_score
The Print,05-08-2024,Mayank Kumar,"5 criminal cases, extortion charges & more — ‘complex’ past of ex-Punjab AIG who ‘killed’ son-in-law",https://theprint.in/india/5-criminal-cases-extortion-charges-more-complex-past-of-ex-punjab-aig-who-killed-son-in-law/2207252/,Negative,0.894348681
The Print,05-08-2024,TCA Sharad Raghavan,Why govt’s likely to scale back on issuing sovereign gold bonds despite savings of Rs 165 cr this yr,https://theprint.in/economy/why-govts-likely-to-scale-back-on-issuing-sovereign-gold-bonds-despite-savings-of-rs-165-cr-this-yr/2206215/,Neutral,0.924856424
The Print,05-08-2024,Bismee Taskin,"Don’t delay J&K polls, announce timeline for restoration of statehood — human rights panel report",https://theprint.in/india/dont-delay-jk-polls-announce-timeline-for-restoration-of-statehood-human-rights-panel-report/2207085/,Neutral,0.965337455
The Print,05-08-2024,Mannat Chugh,India’s Atmanirbharta push shouldn’t shrink economic diplomacy. ‘It must get bigger’,https://theprint.in/feature/around-town/indias-atmanirbharta-push-shouldnt-shrink-economic-diplomacy-it-must-get-bigger/2207302/,Positive,0.73812449
The Print,05-08-2024,Dilip Mandal,Indian Army is not a job guarantee scheme—8 big reasons to support Agnipath,https://theprint.in/opinion/indian-army-is-not-a-job-guarantee-scheme-8-big-reasons-to-support-agnipath/2207270/,Neutral,0.834449828
The Print,05-08-2024,Ayesha Siddiqa,Chinese influence is growing in Pakistan’s Gwadar. No access for local Baloch people,https://theprint.in/opinion/chinese-influence-is-growing-in-pakistans-gwadar-no-access-for-local-baloch-people/2208069/,Negative,0.881360531
The Print,05-08-2024,Shubhangi Misra,"Vizag techies, MBAs chased visas. Landed in Cambodia’s Chinese-run digital slave camps",https://theprint.in/ground-reports/vizag-techies-mbas-chased-visas-landed-in-cambodias-chinese-run-digital-slave-camps/2206087/,Negative,0.849860013
The Print,05-08-2024,Sanya Dhingra,"Bought by Adani, Ramdev, Ravi Shankar-linked entities, Ayodhya buffer zone for Army quietly de-notified",https://theprint.in/india/bought-by-adani-ramdev-ravi-shankar-linked-entities-ayodhya-buffer-zone-for-army-quietly-de-notified/2206317/,Neutral,0.967562139
The Print,05-08-2024,Reuters,UK PM Starmer condemns ‘far-right thuggery’ as unrest flares again. ‘Will face full force of the law’,https://theprint.in/world/britains-starmer-condemns-far-right-thuggery-as-unrest-flares-again/2207866/,Negative,0.5334512
The Print,05-08-2024,ANI,At least 93 killed & over thousands injured as fresh wave of violence grips Bangladesh,https://theprint.in/world/at-least-93-killed-over-thousands-injured-as-fresh-wave-of-violence-grips-bangladesh/2207983/,Negative,0.976196945
The Print,05-08-2024,Nimesh Vora,Indian rupee drops to lifetime low on outflow worries,https://theprint.in/economy/indian-central-bank-likely-selling-dollars-around-83-80-levels-traders-say/2208051/,Negative,0.899237573
The Print,05-08-2024,Patrick Olivelle,"Kautilya’s ‘Arthashastra’, Manu’s laws—Ancient India had rich literature on jurisprudence",https://theprint.in/opinion/kautilyas-arthashastra-manus-laws-ancient-india-had-rich-literature-on-jurisprudence/2207512/,Neutral,0.702625453
Maktoobmedia,05-08-2024,Maktoob Staff,"Assam CM announces plans for stringent measures against ‘Love Jihad’, new domicile policy",https://maktoobmedia.com/india/assam-cm-announces-plans-for-stringent-measures-against-love-jihad-new-domicile-policy/,Neutral,0.961619854
Maktoobmedia,05-08-2024,Maktoob Staff,Bangladesh: Nearly 100 killed in turmoil over fresh anti-government protest,https://maktoobmedia.com/world/bangladesh-nearly-100-killed-in-turmoil-over-fresh-anti-government-protest/,Negative,0.975842893
The News Minute,05-08-2024,TNM Staff,Wayanad landslides: Eight unidentified victims laid to rest after interfaith prayer,https://www.thenewsminute.com/kerala/wayanad-landslides-eight-unidentified-victims-laid-to-rest-after-interfaith-prayer,Neutral,0.612570405
The Week,05-08-2024,Web Desk,"Bangladesh unrest: Sheikh Hasina lands in India, likely to flee to London",https://www.theweek.in,Neutral,0.663597822
The Week,05-08-2024,Web Desk,Bangladesh unrest: India sounds high alert along border; BSF chief in Kolkata to monitor situation,https://www.theweek.in/news/india/2024/08/05/bangladesh-unrest-india-issues-high-alert-along-border-bsf-chief-in-kolkata-to-monitor-situation.html,Neutral,0.945726871
The Week,05-08-2024,By Sarah Sebastian,"Sheikh Hasina resigns as PM, flees to India as Army forms interim govt in Bangladesh",https://www.theweek.in/news/world/2024/08/05/sheikh-hasina-resigns-as-bangladesh-pm-flees-to-kolkata-with-sister-as-dhaka-burns.html,Neutral,0.922964156
The Week,05-08-2024,Web desk,"IAS aspirants’ death: ‘Coaching centres have become death chambers’, raps SC",https://www.theweek.in/news/india/2024/08/05/ias-aspirants-death-coaching-centres-have-become-death-chambers-raps-sc-issues-notice-to-centre-delhi-govt.html,Negative,0.949103534
The Week,05-08-2024,Web desk,Liquor policy case: Delhi HC dismisses Kejriwal’s plea challenging CBI’s arrest,https://www.theweek.in/news/india/2024/08/05/liquor-policy-case-delhi-hc-dismisses-kejriwals-plea-challenging-cbis-arrest.html,Neutral,0.863593698
The Week,05-08-2024,By Joshua K.,"Bears wreak havoc on Dalal Street as US recession fears pull down Sensex, Nifty",https://www.theweek.in/news/biz-tech/2024/08/05/bears-wreak-havoc-on-dalal-street-as-us-recession-fears-pull-down-sensex-nifty.html,Negative,0.875337243
The Week,05-08-2024,Web Desk,Blinken says Iran could attack Israel in '24-48 hours': Reports,https://www.theweek.in/news/world/2024/08/05/iran-could-attack-israel-in-24-48-hours-as-tehran-didnt-care-if-the-response-triggered-a-war.html,Neutral,0.643060982
The Week,05-08-2024,Web Desk,Setback for AAP: SC rules Delhi LG can nominate members to MCD,https://www.theweek.in/news/india/2024/08/05/setback-for-aap-as-sc-rules-delhi-lg-can-nominate-members-to-mcd.html,Neutral,0.914219677
The Week,05-08-2024,By PTI,'Strange coincidence': Delhi HC directs water testing over Asha Kiran shelter home deaths,https://www.theweek.in/news/india/2024/08/05/strange-coincidence-delhi-hc-directs-water-testing-over-asha-kiran-shelter-home-deaths.html,Negative,0.640575528
The Week,05-08-2024,Web Desk,BJP to gather public input for Jammu and Kashmir assembly election manifesto,https://www.theweek.in/news/india/2024/08/05/bjp-to-gather-public-input-for-jammu-and-kashmir-assembly-election-manifesto.html,Neutral,0.97636205
The Week,05-08-2024,Web desk,Rameshwaram Cafe blast: NIA conducts spot inspection along with accused,https://www.theweek.in/news/india/2024/08/05/rameshwaram-cafe-blast-nia-conducts-spot-inspection-along-with-accused.html,Neutral,0.97492969
The Week,05-08-2024,PTI,Former England batter Graham Thorpe dies at 55,https://www.theweek.in/news/sports/2024/08/05/former-england-batter-graham-thorpe-dies-at-55.html,Neutral,0.710906804
The Week,05-08-2024,By Bechu S,"Liverpool fans tell Wayand 'You'll Never Walk Alone!' Rs 80,000  donated to CMDRF by Kerala Reds' WhatsApp group",https://www.theweek.in/news/sports/2024/08/05/liverpool-fans-tell-wayand-youll-never-walk-alone-rs-80000-donated-to-cmdrf-by-kerala-reds-whatsapp-group.html,Positive,0.509937167
The Week,05-08-2024,By Sarah Sebastian,Who is General Waker-Us-Zaman? Bangladesh Army to form interim government as Sheikh Hasina flees,https://www.theweek.in/news/world/2024/08/05/who-is-general-waker-us-zaman-bangladesh-army-to-form-interim-government-as-sheikh-hasina-flees.html,Neutral,0.913989246
The Week,05-08-2024,PTI,"Sensex, Nifty crash 3 per cent amid US economy woes, Middle East tensions and Nikkei plunge",https://www.theweek.in/news/biz-tech/2024/08/05/sensex-nifty-crash-3-per-cent-amid-us-economy-woes-middle-east-tensions-nikkei-plunge.html,Negative,0.946273863
The Week,05-08-2024,By K. Sunil Thomas,Indigo hits adulthood; launches business class and loyalty programme on its 18th birthday,https://www.theweek.in/news/biz-tech/2024/08/05/indigo-hits-adulthood-launches-business-class-and-loyalty-programme-on-its-18th-birthday.html,Neutral,0.571185946
The Week,05-08-2024,"By 
					 Dr  Fauzia Khan",Gaming industry: A major contributor to India’s growth story,https://www.theweek.in/news/sci-tech/2024/08/05/gaming-industry-a-major-contributor-to-indias-growth-story.html,Positive,0.800925851
The Week,05-08-2024,PTI,Kerala man returns to village heartbroken after landslides leave 11 family members dead,https://www.theweek.in/wire-updates/national/2024/08/05/mds14-kl-landslides-expatriate-family.html,Negative,0.96771282
The Week,05-08-2024,PTI,Viksit Bharat a vision document under preparation for developed India by 2047  Govt,https://www.theweek.in/wire-updates/national/2024/08/05/par11-rs-viksit-bharat.html,Neutral,0.84468931
The Week,05-08-2024,PTI,Bangladesh  Mamata urges all to maintain peace in Bengal  avoid provocation,https://www.theweek.in/wire-updates/national/2024/08/05/cal15-wb-mamata-bangladesh.html,Neutral,0.941997468
The Week,05-08-2024,PTI,Security beefed up at Bangladesh High Commission in Delhi  Police,https://www.theweek.in/wire-updates/national/2024/08/05/del49-dl-security-bangladesh-high-commission.html,Neutral,0.977559805
The Week,05-08-2024,PTI,SC seeks quantifiable data on backwardness from WB amid row over inclusion of new castes in OBC list,https://www.theweek.in/wire-updates/national/2024/08/05/lgd29-sc-wb-ld-obc-list.html,Neutral,0.938802958
The Week,05-08-2024,PTI,Following are the top foreign stories at 1700 hours,https://www.theweek.in/wire-updates/international/2024/08/05/fgn44-top-foreign-stories-at-1700-hours.html,Neutral,0.971621394
The Week,05-08-2024,PTI,Bangladesh protesters storm Hasina's official residence after her departure as PM,https://www.theweek.in/wire-updates/international/2024/08/05/fgn43-bangla-3rdld-situation.html,Negative,0.794258475
The Week,05-08-2024,PTI,Sheikh Hasina  From record fourth consecutive term to dramatic ouster,https://www.theweek.in/wire-updates/international/2024/08/05/fgn42-bangla-hasina-profile.html,Negative,0.768265724
The Week,05-08-2024,PTI,Israel-Hamas war latest  Hezbollah says it launched a drone attack on northern Israel,https://www.theweek.in/wire-updates/international/2024/08/05/fgn40-mideast-tensions-latest-2.html,Negative,0.720583737
